Polluted element,Type of pollution,California_Boulder City_2017,California_Malibu_2018,California_San Francisco_2021,Nevada_Berkeley_2017,Nevada_Las Vegas_2018,Nevada_Reno_2021,Average
Air,Groundwater,-42.61,39.22,-90.39,76.48,-73.83,-4.27,-15.90
,Inferior Irrigation,-50.62,32.45,-96.30,70.80,-75.44,-12.15,-21.88
,Noise,-59.71,11.50,94.43,49.52,-81.93,-23.78,-1.66
,Oxygen-depletion,-66.63,6.65,83.29,44.88,-85.29,-28.77,-7.64
,Solid Waste,-54.33,21.59,98.50,57.88,-81.19,-18.94,3.92
Soil,Chemical,-47.16,33.37,-96.39,74.67,-78.66,-9.63,-20.63
,Groundwater,-65.93,7.72,89.35,47.97,-85.16,-27.84,-5.65
,Light,-56.98,12.88,94.36,53.76,-81.86,-21.30,0.14
,Surface water,-40.77,41.23,-86.20,78.39,-71.46,-3.65,-13.74
,Urban Activities,-54.89,25.99,99.12,62.55,-81.02,-18.11,5.61
Water,Chemical,-67.30,1.61,80.33,43.74,-85.64,-35.44,-10.45
,Industrial,-52.00,29.20,-4.59,67.04,-79.15,-13.25,-8.79
,Inorganic Fertilizers,-55.40,15.21,97.14,53.42,-79.48,-20.16,1.79
,Oxygen-depletion,-45.16,39.51,-92.88,74.99,-74.20,-8.73,-17.75
,Surface water,-63.66,9.39,91.43,48.58,-82.26,-23.22,-3.29
Average,,-54.88,21.83,24.08,60.31,-79.77,-17.95,-7.73
