Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2018,Q3,Dairy,Cheese,636.38
Import,2018,Q3,Beverage,Butter,66.84
Import,2018,Q3,Dairy,Coffee,732.86
Import,2018,Q3,Beverage,Tea,642.88
Import,2020,Q3,Dairy,Cheese,360.53
Import,2020,Q3,Beverage,Butter,425.84
Import,2020,Q3,Dairy,Coffee,40.95
Import,2020,Q3,Beverage,Tea,242.48
Import,2018,Q3,Dairy,Cheese,307.05
Import,2018,Q3,Beverage,Butter,374.56
Import,2018,Q3,Dairy,Coffee,407.19
Import,2018,Q3,Beverage,Tea,982.35
Import,2020,Q3,Dairy,Cheese,441.3
Import,2020,Q3,Beverage,Butter,698.26
Import,2020,Q3,Dairy,Coffee,380.68
Import,2020,Q3,Beverage,Tea,343.27
