Quarter,Month,State,City,Culture_House,Culture_School,Culture_Theatre,Residential_Concert,Residential_Hotel,Residential_Library,Service_Apartment,Service_Hospital,Service_Museum
Q1,December,Massachusetts,Cambridge,79.20,45.49,13.01,30.33,99.98,13.93,87.97,56.17,22.45
,January,Georgia,Washington,76.77,40.47,7.80,29.38,94.74,62.37,84.65,52.00,19.48
,October,Massachusetts,Cambridge,72.63,37.71,4.02,24.95,90.42,58.18,82.90,49.44,16.40
Q3,August,Massachusetts,Cambridge,75.77,36.94,4.99,28.16,92.23,61.03,84.77,52.31,17.96
,February,Georgia,Washington,78.78,42.80,7.28,31.94,97.24,65.71,87.12,55.35,19.96
,November,Georgia,Washington,70.92,36.97,3.27,23.53,85.16,57.22,81.77,47.03,15.39
Q4,December,Massachusetts,Cambridge,69.20,35.66,1.48,23.64,81.33,57.75,77.15,45.21,14.63
,July,Georgia,Washington,74.14,38.56,4.00,27.59,92.96,58.81,82.84,51.29,17.57
,March,Massachusetts,Cambridge,77.07,42.08,8.45,30.26,96.63,63.24,81.97,54.30,20.52
Minimum,,,,69.20,35.66,1.48,23.53,81.33,13.93,77.15,45.21,14.63
