Quarter,Month,Culture_Concert,Culture_Factory,Culture_Hotel,Production_Apartment,Production_Museum,Residential_House,Residential_Theatre,Residential_Workshop,Minimum,State,City
Q1,,0.89,74.09,33.09,64.99,20.89,43.66,10.25,91.97,0.89,,
,  February,0.89,74.09,33.09,64.99,20.89,43.66,10.25,91.97,0.89,Massachusetts,Lenox
,  March,5.58,76.21,38.78,67.25,25.88,54.59,13.82,93.35,5.58,Massachusetts,Salem
,  November,9.75,80.55,40.42,67.54,29.62,58.78,18.61,95.68,9.75,Massachusetts,Portland
Q4,,2.56,75.13,36.62,66.68,23.23,52.00,10.34,92.63,2.56,,
,  February,10.18,89.06,42.71,73.22,31.42,60.49,20.12,97.14,10.18,Oregon,Salem
,  January,2.56,75.13,36.62,66.68,23.23,52.00,12.86,92.63,2.56,Oregon,Portland
,  October,6.33,77.70,38.81,67.45,27.81,57.79,10.34,93.23,6.33,Oregon,Lenox
Minimum,,0.89,74.09,33.09,64.99,20.89,43.66,10.25,91.97,0.89,,
,  ,0.89,74.09,33.09,64.99,20.89,43.66,10.25,91.97,0.89,,
