Quarter,Month,Culture_Library,Culture_Theatre,Production_Administration,Production_Concert,Production_Factory,Service_Museum,Service_Workshop
Q1,,29.56,77.12,49.97,90.64,1.19,66.86,6.92
,  January,39.33,81.16,53.59,91.32,5.92,72.09,9.74
,  November,29.56,77.12,49.97,90.64,1.19,66.86,6.92
,  September,42.20,84.08,63.15,96.67,8.02,75.49,22.53
Q3,,32.52,75.64,50.30,91.22,3.09,0.17,7.92
,  July,40.38,83.45,60.54,92.14,6.79,73.63,15.17
,  March,32.52,75.64,50.30,91.22,3.09,0.17,7.92
,  October,45.40,86.38,64.43,96.61,9.66,76.07,22.30
Q4,,26.44,77.86,48.79,0.02,0.64,65.99,10.25
,  August,42.59,84.78,61.62,90.37,6.04,73.20,21.94
,  February,39.12,80.11,49.28,92.78,3.38,68.19,13.15
,  October,26.44,77.86,48.79,0.02,0.64,65.99,10.25
