Characteristic,Intensity,2015_Florida_Albany,2015_Florida_Fort Lauderdale,2015_Florida_Washington,2018_Georgia_Columbus,2018_Georgia_Tampa
Humidity,,22.52,6.60,21.61,27.39,14.03
,  Breeze,22.52,6.60,19.78,27.39,14.03
,  Low,20.22,3.98,0.15,26.52,11.66
,  Storm,18.92,1.59,21.61,19.57,9.41
Wind,,20.46,5.14,27.02,26.49,12.18
,  Breeze,15.81,0.75,27.02,22.82,8.95
,  Calm,18.30,1.07,26.47,25.44,10.19
,  Medium,20.46,5.14,18.04,26.49,12.18
Maximum,,22.52,6.60,27.02,27.39,14.03
,  ,22.52,6.60,27.02,27.39,14.03
