Characteristic,Intensity,2015_Minnesota_Chicago,2015_Minnesota_Minneapolis,2015_Minnesota_Salem,2018_Illinois_Champaign,2018_Illinois_Rochester,2022_Oregon_Hastings,2022_Oregon_Portland,2022_Oregon_Springfield
Humidity,31-40,5.55,3.98,22.03,14.86,22.99,13.47,10.62,21.27
,Calm,6.95,6.78,6.09,15.57,23.66,14.80,12.60,23.59
,Storm,4.37,1.03,22.76,0.09,17.57,10.35,8.64,20.08
Temperature,0-10,18.43,5.43,5.59,14.71,23.09,14.39,11.90,23.69
,Medium,17.71,2.27,5.66,13.62,20.98,6.10,2.60,7.06
,Storm,19.47,7.44,27.09,3.45,23.63,17.97,12.73,0.83
Wind,21-30,2.33,5.86,26.86,14.69,15.32,15.40,11.20,5.57
,Calm,16.95,0.39,27.40,0.23,18.52,9.86,7.85,7.95
,Low,17.51,2.06,21.40,13.98,21.33,7.69,3.27,20.77
Maximum,,19.47,7.44,27.40,15.57,23.66,17.97,12.73,23.69
