Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,31-40,1.25
2021,Wind,0-10,1.74
2021,Humidity,Storm,2.01
2021,Temperature,Calm,4.99
2021,Wind,Breeze,5.83
2021,Humidity,High,4.75
2021,Temperature,Low,7.18
2021,Wind,Medium,8.84
2021,Humidity,31-40,9.64
2022,Temperature,31-40,8.91
2022,Wind,0-10,12.59
2022,Humidity,Storm,12.71
2022,Temperature,Calm,15.63
2022,Wind,Breeze,17.01
2022,Humidity,High,18.21
2022,Temperature,Low,19.23
2022,Wind,Medium,20.08
2022,Humidity,31-40,21.91
2015,Temperature,31-40,22.38
2015,Wind,0-10,23.19
2015,Humidity,Storm,21.98
2015,Temperature,Calm,24.94
2015,Wind,Breeze,26.45
2015,Humidity,High,24.36
2015,Temperature,Low,25.01
2015,Wind,Medium,26.81
2015,Humidity,31-40,18.41
