Polluted element,Type of pollution,Illinois_Hastings_2022,Illinois_Salem_2016,Minnesota_Champaign_2015,Minnesota_Minneapolis_2016,Minnesota_Redmond_2018,Oregon_Chicago_2018,Oregon_Portland_2022
Air,Chemical,45.77,82.34,-56.60,15.05,-19.71,-65.24,-36.59
,Thermal,-90.12,80.63,-59.29,4.60,-23.61,-75.92,89.61
,Urban Activities,15.59,-51.53,-62.30,1.85,-32.06,-83.40,-45.16
Soil,Inorganic Fertilizers,15.68,75.82,65.77,-51.26,-33.80,46.54,-43.34
,Light,-93.81,79.60,67.26,3.49,-29.97,53.01,-48.02
,Oxygen-depletion,45.62,-46.58,68.78,14.65,-21.38,-68.64,-39.97
Water,Groundwater,-87.86,-50.86,70.41,5.16,-22.69,58.52,-38.69
,Inorganic Fertilizers,47.77,-49.95,-53.81,16.56,-14.89,64.92,92.29
,Noise,23.11,-51.52,67.38,2.04,99.70,-76.63,87.15
Average,,-8.69,7.55,11.96,1.35,-10.93,-16.32,1.92
