Polluted element,Type of pollution,California_Chicago,California_Malibu,California_San Francisco,Illinois_Los-Angeles,Illinois_Springfield
Average,,3.73,-28.47,7.56,0.68,4.84
,  ,3.73,-28.47,7.56,0.68,4.84
Air,,-31.31,-9.14,27.88,11.83,-17.95
,  Chemical,-33.97,29.06,62.77,45.34,82.06
,  Inorganic Fertilizers,-17.29,-92.14,68.99,-80.23,-40.90
,  Light,-39.49,2.86,51.23,39.72,-59.22
,  Surface water,-34.51,23.67,-71.45,42.48,-53.76
Soil,,5.47,-37.47,30.81,10.75,-14.65
,  Groundwater,95.51,25.14,-68.73,34.79,77.13
,  Industrial,-19.70,-93.33,65.54,47.21,-41.49
,  Noise,-39.67,10.05,56.23,39.77,-55.95
,  Thermal,-14.24,-91.74,70.22,-78.79,-38.30
Water,,37.04,-38.80,-36.03,-20.52,47.12
,  Inferior Irrigation,-23.12,-94.68,-66.14,-86.03,83.53
,  Light,-16.79,-91.27,-60.26,49.60,88.36
,  Oxygen-depletion,95.93,24.90,57.97,43.76,77.06
,  Thermal,92.13,5.84,-75.70,-89.42,-60.45
