Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q1,March,8.34
Service,Library,Q4,February,9.41
Service,Library,Q2,January,9.08
Service,Library,Q1,October,13.71
Service,Library,Q4,December,15.29
Service,Library,Q2,November,17.46
Service,Library,Q1,May,19.98
Service,Library,Q4,April,23.63
Service,Library,Q2,June,23.08
Residential,Administration,Q1,March,26.14
Residential,Administration,Q4,February,26.33
Residential,Administration,Q2,January,29.03
Residential,Administration,Q1,October,30.64
Residential,Administration,Q4,December,30.29
Residential,Administration,Q2,November,30.39
Residential,Administration,Q1,May,30.57
Residential,Administration,Q4,April,34.09
Residential,Administration,Q2,June,34.58
Service,House,Q1,March,34.61
Service,House,Q4,February,35.23
Service,House,Q2,January,40.55
Service,House,Q1,October,49.64
Service,House,Q4,December,50.65
Service,House,Q2,November,55.99
Service,House,Q1,May,56.72
Service,House,Q4,April,61.59
Service,House,Q2,June,62.84
Residential,Apartment,Q1,March,63.15
Residential,Apartment,Q4,February,65.67
Residential,Apartment,Q2,January,67.89
Residential,Apartment,Q1,October,67.6
Residential,Apartment,Q4,December,68.05
Residential,Apartment,Q2,November,68.13
Residential,Apartment,Q1,May,71.78
Residential,Apartment,Q4,April,71.3
Residential,Apartment,Q2,June,72.01
Service,Hotel,Q1,March,77.39
Service,Hotel,Q4,February,79.45
Service,Hotel,Q2,January,82.46
Service,Hotel,Q1,October,84.48
Service,Hotel,Q4,December,89.97
Service,Hotel,Q2,November,91.55
Service,Hotel,Q1,May,93.66
Service,Hotel,Q4,April,98.22
Service,Hotel,Q2,June,98.41
