Polluted element,Type of pollution,Georgia_Columbus_2019,Georgia_Portland_2022,Minnesota_Hastings_2022,Minnesota_Redmond_2019,Minnesota_Washington_2022,Oregon_Rochester_2019,Oregon_Salem_2022
Soil,,23.42,53.67,-4.06,31.89,-17.61,6.88,6.52
,  Chemical,-49.49,49.29,1.91,59.63,-26.86,-91.51,-59.38
,  Industrial,-30.85,58.65,-92.16,67.61,-6.15,39.32,75.91
,  Inferior Irrigation,89.71,54.70,64.65,-63.34,-14.73,41.95,-60.39
,  Surface water,84.31,52.05,9.35,63.65,-22.72,37.75,69.93
Water,,-12.20,20.13,11.96,-2.07,-21.62,-25.66,-26.11
,  Groundwater,-47.53,50.88,2.75,62.73,-26.64,-89.63,-61.28
,  Inorganic Fertilizers,-42.72,54.84,12.50,-65.99,-21.52,41.49,-56.66
,  Oxygen-depletion,-53.58,-80.94,-0.79,-69.01,-30.33,-91.88,-61.31
,  Solid Waste,95.04,55.74,33.36,63.98,-8.00,37.38,74.80
