Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2017,Humidity,Medium,0.87
2017,Temperature,Low,2.57
2017,Humidity,31-40,26.48
2017,Temperature,11-20,4.9
2017,Humidity,0-10,7.39
2017,Temperature,Medium,7.72
2015,Humidity,Medium,7.82
2015,Temperature,Low,11.07
2015,Humidity,31-40,11.74
2015,Temperature,11-20,13.96
2015,Humidity,0-10,14.43
2015,Temperature,Medium,15.77
2021,Humidity,Medium,16.98
2021,Temperature,Low,14.19
2021,Humidity,31-40,18.35
2021,Temperature,11-20,20.6
2021,Humidity,0-10,20.33
2021,Temperature,Medium,26.03
