Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,House,Q4,December,8.23
Residential,House,Q2,November,9.4
Residential,House,Q4,October,10.42
Residential,House,Q2,June,12.71
Residential,House,Q4,May,22.33
Residential,House,Q2,April,22.54
Service,Hotel,Q4,December,24.97
Service,Hotel,Q2,November,22.85
Service,Hotel,Q4,October,26.57
Service,Hotel,Q2,June,42.8
Service,Hotel,Q4,May,43.04
Service,Hotel,Q2,April,55.48
Residential,School,Q4,December,57.1
Residential,School,Q2,November,59.99
Residential,School,Q4,October,60.63
Residential,School,Q2,June,62.79
Residential,School,Q4,May,63.04
Residential,School,Q2,April,67.08
Service,Administration,Q4,December,68.26
Service,Administration,Q2,November,70.66
Service,Administration,Q4,October,77.91
Service,Administration,Q2,June,92.46
Service,Administration,Q4,May,93.66
Service,Administration,Q2,April,96.53
