Polluted element,Type of pollution,Minnesota_Boulder City_2020,Minnesota_Hastings_2020,Minnesota_Minneapolis_2017,Nevada_Reno_2022,Nevada_Rochester_2021
Air,,19.87,9.59,-29.19,28.15,32.32
,  Groundwater,-8.21,20.20,-66.63,75.97,41.73
,  Solid Waste,-22.92,8.01,-70.16,71.16,31.72
,  Thermal,90.73,0.56,49.23,-62.68,23.52
Soil,,-20.12,11.48,-27.95,29.98,34.85
,  Chemical,-18.55,11.78,58.41,73.15,33.96
,  Noise,-35.52,1.32,-77.37,69.86,27.92
,  Thermal,-6.29,21.35,-64.89,-53.06,42.68
Water,,-14.38,13.77,59.87,-8.19,-50.18
,  Inferior Irrigation,-26.24,1.19,54.40,-57.90,28.60
,  Noise,-5.45,22.89,65.26,-40.71,-84.25
,  Surface water,-11.45,17.24,59.94,74.04,-94.88
Average,,-4.88,11.62,0.91,16.65,5.67
,  ,-4.88,11.62,0.91,16.65,5.67
