Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,31-40,1.95
2020,Wind,0-10,1.9
2020,Temperature,11-20,5.82
2020,Wind,Breeze,9.21
2020,Temperature,Storm,9.79
2020,Wind,Calm,10.25
2022,Temperature,31-40,16.24
2022,Wind,0-10,17.82
2022,Temperature,11-20,18.54
2022,Wind,Breeze,19.64
2022,Temperature,Storm,20.48
2022,Wind,Calm,21.4
2017,Temperature,31-40,20.42
2017,Wind,0-10,23.54
2017,Temperature,11-20,18.89
2017,Wind,Breeze,25.62
2017,Temperature,Storm,26.45
2017,Wind,Calm,27.94
