Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Storm,2.2
2016,Humidity,Calm,3.25
2016,Temperature,Breeze,2.14
2016,Wind,High,7.17
2016,Humidity,Medium,8.06
2016,Temperature,Low,8.92
2016,Wind,11-20,13.85
2016,Humidity,0-10,14.09
2016,Temperature,Storm,16.63
2022,Wind,Storm,16.09
2022,Humidity,Calm,19.31
2022,Temperature,Breeze,19.68
2022,Wind,High,21.84
2022,Humidity,Medium,22.85
2022,Temperature,Low,23.15
2022,Wind,11-20,24.72
2022,Humidity,0-10,19.85
2022,Temperature,Storm,26.49
