Polluted element,Type of pollution,Georgia_Albany,Georgia_Flint,Michigan_Columbus,Michigan_Port Huron
Air,,9.39,-25.43,-36.80,-8.49
,  Groundwater,12.38,-55.80,-79.43,-17.69
,  Industrial,5.68,-58.04,43.09,-28.30
,  Inferior Irrigation,5.60,66.11,-90.70,-30.26
,  Noise,13.90,-53.97,-20.17,42.27
Soil,,11.93,-55.08,-19.26,25.14
,  Chemical,13.21,-62.04,-77.99,-13.13
,  Inorganic Fertilizers,9.83,-58.82,43.81,99.14
,  Solid Waste,6.52,-62.61,39.84,-29.42
,  Thermal,18.16,-36.86,-82.69,43.98
Water,,-2.25,-19.85,46.11,-3.10
,  Light,-46.47,78.47,48.93,46.89
,  Oxygen-depletion,19.59,-42.66,52.39,-13.05
,  Surface water,11.24,-56.06,45.81,-18.07
,  Urban Activities,6.63,-59.13,37.30,-28.19
