Quarter,Month,Culture_Apartment,Culture_Library,Culture_Museum,Residential_Hotel,Residential_School,Residential_Theatre,Service_Concert,Service_Hospital,Service_House,State,City
Minimum,,40.15,68.04,0.75,42.81,80.63,13.40,29.89,0.14,58.41,,
,  ,40.15,68.04,0.75,42.81,80.63,13.40,29.89,0.14,58.41,,
Q2,,43.13,69.12,2.93,52.48,84.10,17.07,34.07,0.14,60.14,,
,  August,45.79,75.07,3.57,54.01,90.44,20.37,37.95,42.60,62.58,Maryland,Columbia
,  December,49.18,75.34,11.28,57.32,94.92,28.64,40.74,0.14,66.74,Maryland,Columbia
,  October,43.13,69.12,2.93,52.48,84.10,17.07,34.07,97.14,60.14,Maryland,Columbia
Q3,,41.59,69.03,1.13,42.81,82.80,13.40,33.55,50.25,58.45,,
,  April,48.56,76.36,10.70,54.89,93.91,25.27,34.69,50.25,65.44,Maryland,Columbia
,  November,41.59,69.03,1.13,42.81,82.80,13.40,33.55,94.55,59.16,Maryland,Columbia
,  September,43.84,74.38,3.79,54.00,89.62,19.32,36.83,99.98,58.45,Maryland,Columbia
Q4,,40.15,68.04,0.75,45.69,80.63,13.57,29.89,42.38,58.41,,
,  December,40.15,68.04,0.75,48.63,80.63,13.57,29.89,94.06,58.41,Maryland,Columbia
,  July,44.25,71.74,3.06,45.69,86.86,17.01,33.88,95.86,61.02,Maryland,Columbia
,  May,47.07,76.57,6.16,56.56,92.10,19.53,38.00,42.38,64.69,Maryland,Columbia
