Polluted element,Type of pollution,Massachusetts_Detroit_2020,Massachusetts_Lenox_2017,Michigan_Cambridge_2016,Michigan_Flint_2021,Average
Air,,21.96,-1.63,25.87,18.94,16.29
,  Chemical,53.75,-24.55,-41.68,28.03,3.89
,  Inorganic Fertilizers,43.73,-30.57,72.24,10.58,23.99
,  Noise,-90.60,-33.78,-69.08,4.93,-47.13
,  Solid Waste,46.50,97.72,79.56,15.09,59.72
,  Thermal,56.41,-16.95,88.33,36.09,40.97
Soil,,-80.05,-26.27,1.03,-5.85,-27.79
,  Industrial,-83.60,-29.84,-55.66,9.23,-39.97
,  Inorganic Fertilizers,-71.65,-14.33,-41.89,-92.16,-55.01
,  Light,-88.57,-32.08,59.49,6.55,-13.65
,  Noise,-74.02,-20.33,87.97,30.29,5.98
,  Urban Activities,-82.40,-34.78,-44.77,16.84,-36.28
Water,,25.01,28.56,-21.50,-27.13,1.24
,  Groundwater,51.65,-24.49,-42.83,25.90,2.56
,  Industrial,-69.02,-7.29,-34.47,-90.74,-50.38
,  Inferior Irrigation,46.44,94.59,-55.32,13.20,24.73
,  Light,54.16,-16.88,-39.63,-93.79,-24.04
,  Thermal,41.84,96.87,64.75,9.78,53.31
Average,,-11.03,0.22,1.80,-4.68,-3.42
,  ,-11.03,0.22,1.80,-4.68,-3.42
