Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Breeze,0.36
2016,Temperature,Calm,2.28
2016,Humidity,Storm,2.62
2016,Wind,11-20,4.03
2016,Temperature,21-30,5.36
2016,Humidity,0-10,3.94
2016,Wind,Medium,8.39
2016,Temperature,High,9.92
2016,Humidity,Breeze,10.59
2020,Wind,Breeze,10.91
2020,Temperature,Calm,14.6
2020,Humidity,Storm,14.49
2020,Wind,11-20,16.77
2020,Temperature,21-30,17.85
2020,Humidity,0-10,17.48
2020,Wind,Medium,16.57
2020,Temperature,High,15.95
2020,Humidity,Breeze,26.8
