Quarter,Month,Culture_Apartment,Culture_Theatre,Production_Hotel,Production_Museum,Production_Workshop,Residential_Concert,Residential_Factory,Residential_House
Q2,,32.94,58.78,39.40,69.52,1.55,90.10,16.51,50.08
,  April,32.94,63.50,43.74,75.67,6.58,97.31,18.52,54.94
,  August,56.17,58.78,39.40,69.52,1.55,90.10,16.51,50.08
,  July,34.60,67.58,49.96,85.41,11.45,99.03,22.77,56.51
Q3,,25.26,56.80,37.09,64.10,0.78,87.30,15.34,51.21
,  July,25.26,56.80,37.09,69.91,0.78,87.30,15.34,51.21
,  June,29.01,63.37,42.37,64.10,5.68,96.72,17.56,54.43
,  October,34.66,62.11,47.08,79.81,10.13,99.81,21.11,57.86
Q4,,28.59,62.42,40.53,71.64,3.03,0.01,17.16,53.92
,  August,35.28,68.91,49.43,85.76,14.98,0.01,23.55,56.11
,  December,32.02,65.74,46.74,79.26,7.93,99.58,17.16,56.97
,  September,28.59,62.42,40.53,71.64,3.03,93.30,17.41,53.92
