Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Male,2018,Q3,Fire,Slight,64.91
Male,2018,Q3,Drowning,Fatal,97.33
Male,2018,Q3,Traffic,Serious,65.99
Male,2020,Q1,Fire,Slight,64.61
Male,2020,Q1,Drowning,Fatal,98.92
Male,2020,Q1,Traffic,Serious,63.21
Male,2015,Q3,Fire,Slight,96.71
Male,2015,Q3,Drowning,Fatal,36.12
Male,2015,Q3,Traffic,Serious,73.81
Male,2018,Q1,Fire,Slight,74.23
Male,2018,Q1,Drowning,Fatal,43.86
Male,2018,Q1,Traffic,Serious,75.13
Male,2020,Q3,Fire,Slight,15.57
Male,2020,Q3,Drowning,Fatal,81.83
Male,2020,Q3,Traffic,Serious,20.52
Male,2015,Q1,Fire,Slight,86.3
Male,2015,Q1,Drowning,Fatal,93.65
Male,2015,Q1,Traffic,Serious,95.75
