Polluted element,Type of pollution,Illinois_Port Huron_2020,Illinois_Springfield_2018,Michigan_Champaign_2020,Michigan_Detroit_2015,Michigan_Hastings_2021,Minnesota_Chicago_2021,Minnesota_Flint_2018,Minnesota_Rochester_2015,Average
Air,,56.20,-56.19,-36.19,15.46,79.09,-17.28,33.66,-86.02,-1.41
,  Chemical,62.66,-48.55,-31.94,23.24,90.76,-8.07,40.43,-73.28,6.91
,  Inorganic Fertilizers,57.47,-52.28,-34.40,19.05,78.53,-14.89,38.00,-80.10,1.42
,  Surface water,48.18,-64.53,-41.92,3.02,70.08,-26.37,25.61,-97.20,-10.39
,  Thermal,56.48,-59.40,-36.51,16.53,76.99,-19.78,30.58,-93.49,-3.58
Soil,,57.65,-55.50,-34.54,17.45,83.47,-15.95,34.68,-83.46,0.47
,  Groundwater,53.18,-64.69,-39.50,9.93,74.81,-24.95,26.80,-96.78,-7.65
,  Noise,57.35,-58.53,-35.69,17.67,78.52,-16.66,32.06,-90.42,-1.96
,  Solid Waste,56.01,-51.60,-32.33,18.38,85.87,-16.91,37.06,-80.52,2.00
,  Surface water,64.05,-47.20,-30.64,23.83,94.66,-5.28,42.80,-66.11,9.51
Water,,53.89,-59.60,-37.38,14.52,77.15,-20.27,32.83,-39.74,2.68
,  Chemical,47.12,-65.51,-45.11,3.97,69.76,-32.06,23.06,99.79,12.63
,  Industrial,58.17,-51.07,-31.11,23.97,85.51,-9.57,39.74,-77.28,4.79
,  Inferior Irrigation,55.07,-59.34,-34.33,16.17,78.20,-15.28,37.71,-86.63,-1.05
,  Oxygen-depletion,55.21,-62.49,-38.95,13.98,75.11,-24.16,30.83,-94.83,-5.66
Average,,55.91,-57.10,-36.04,15.81,79.90,-17.83,33.72,-69.74,0.58
,  ,55.91,-57.10,-36.04,15.81,79.90,-17.83,33.72,-69.74,0.58
