Polluted element,Type of pollution,California_Malibu,California_Minneapolis,California_San Francisco,Minnesota_Los-Angeles,Minnesota_Rochester,Average
Air,,-24.78,-28.26,-24.12,-91.49,82.13,-17.30
,  Inorganic Fertilizers,17.71,-27.47,-69.23,-90.85,82.67,-17.43
,  Surface water,-98.70,-22.81,-56.65,-85.38,87.85,-35.14
,  Thermal,6.65,-34.49,53.52,-98.24,75.87,0.66
Soil,,23.09,-26.63,-63.54,-46.15,39.66,-14.71
,  Industrial,27.85,-27.82,-64.07,39.74,-45.11,-13.88
,  Light,10.09,-34.71,-71.34,-93.64,73.59,-23.20
,  Thermal,31.33,-17.36,-55.20,-84.54,90.50,-7.05
Water,,-59.92,-21.77,67.87,-0.43,0.79,-2.69
,  Chemical,-99.91,-27.12,71.88,41.62,-41.29,-10.96
,  Light,-97.55,-2.37,72.94,49.60,93.76,23.28
,  Solid Waste,17.69,-35.83,58.79,-92.52,-50.11,-20.40
Average,,-20.54,-25.55,-6.60,-46.02,40.86,-11.57
,  ,-20.54,-25.55,-6.60,-46.02,40.86,-11.57
