Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q1,February,0.19
Service,School,Q4,March,3.86
Service,School,Q3,November,4.4
Service,School,Q1,December,5.59
Service,School,Q4,October,8.2
Service,School,Q3,August,14.89
Service,School,Q1,September,16.23
Service,School,Q4,July,17.81
Service,School,Q3,February,18.61
Residential,Hospital,Q1,February,18.1
Residential,Hospital,Q4,March,20.27
Residential,Hospital,Q3,November,23.64
Residential,Hospital,Q1,December,25.28
Residential,Hospital,Q4,October,26.64
Residential,Hospital,Q3,August,26.46
Residential,Hospital,Q1,September,26.82
Residential,Hospital,Q4,July,30.07
Residential,Hospital,Q3,February,32.56
Culture,Apartment,Q1,February,33.21
Culture,Apartment,Q4,March,32.0
Culture,Apartment,Q3,November,35.28
Culture,Apartment,Q1,December,36.23
Culture,Apartment,Q4,October,37.59
Culture,Apartment,Q3,August,45.18
Culture,Apartment,Q1,September,46.81
Culture,Apartment,Q4,July,49.07
Culture,Apartment,Q3,February,51.22
Service,Hotel,Q1,February,52.84
Service,Hotel,Q4,March,52.92
Service,Hotel,Q3,November,53.03
Service,Hotel,Q1,December,53.36
Service,Hotel,Q4,October,58.54
Service,Hotel,Q3,August,58.36
Service,Hotel,Q1,September,60.08
Service,Hotel,Q4,July,62.79
Service,Hotel,Q3,February,64.26
Residential,House,Q1,February,65.73
Residential,House,Q4,March,65.5
Residential,House,Q3,November,65.35
Residential,House,Q1,December,65.19
Residential,House,Q4,October,69.13
Residential,House,Q3,August,72.01
Residential,House,Q1,September,74.87
Residential,House,Q4,July,76.4
Residential,House,Q3,February,76.5
Culture,Theatre,Q1,February,78.88
Culture,Theatre,Q4,March,76.14
Culture,Theatre,Q3,November,81.76
Culture,Theatre,Q1,December,84.63
Culture,Theatre,Q4,October,88.59
Culture,Theatre,Q3,August,89.99
Culture,Theatre,Q1,September,89.7
Culture,Theatre,Q4,July,88.31
Culture,Theatre,Q3,February,92.34
Service,Museum,Q1,February,93.86
Service,Museum,Q4,March,93.33
Service,Museum,Q3,November,88.82
Service,Museum,Q1,December,90.18
Service,Museum,Q4,October,97.24
Service,Museum,Q3,August,98.12
Service,Museum,Q1,September,99.2
Service,Museum,Q4,July,94.51
Service,Museum,Q3,February,96.96
