Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Calm,0.91
2019,Temperature,Breeze,0.8
2019,Humidity,Storm,2.94
2019,Wind,11-20,3.17
2019,Temperature,21-30,3.79
2019,Humidity,0-10,2.38
2019,Wind,Medium,3.18
2019,Temperature,High,7.44
2019,Humidity,Calm,8.9
2020,Wind,Calm,9.09
2020,Temperature,Breeze,10.66
2020,Humidity,Storm,9.81
2020,Wind,11-20,2.01
2020,Temperature,21-30,14.29
2020,Humidity,0-10,15.28
2020,Wind,Medium,15.24
2020,Temperature,High,15.2
2020,Humidity,Calm,18.23
2021,Wind,Calm,17.45
2021,Temperature,Breeze,20.18
2021,Humidity,Storm,20.63
2021,Wind,11-20,22.23
2021,Temperature,21-30,15.6
2021,Humidity,0-10,25.25
2021,Wind,Medium,25.4
2021,Temperature,High,27.75
2021,Humidity,Calm,27.92
