State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Illinois,Springfield,Water,Groundwater,-0.3
Illinois,Springfield,Soil,Chemical,1.65
Illinois,Springfield,Air,Oxygen-depletion,2.17
Illinois,Springfield,Water,Solid Waste,5.98
Illinois,Springfield,Soil,Inorganic Fertilizers,7.89
Illinois,Springfield,Air,Inferior Irrigation,8.12
Illinois,Springfield,Water,Thermal,14.53
Illinois,Springfield,Soil,Light,18.48
Illinois,Springfield,Air,Noise,19.82
Florida,Chicago,Water,Groundwater,20.54
Florida,Chicago,Soil,Chemical,20.96
Florida,Chicago,Air,Oxygen-depletion,22.7
Florida,Chicago,Water,Solid Waste,18.71
Florida,Chicago,Soil,Inorganic Fertilizers,30.02
Florida,Chicago,Air,Inferior Irrigation,33.21
Florida,Chicago,Water,Thermal,-94.84
Florida,Chicago,Soil,Light,36.63
Florida,Chicago,Air,Noise,39.6
Nevada,Champaign,Water,Groundwater,-88.39
Nevada,Champaign,Soil,Chemical,-87.56
Nevada,Champaign,Air,Oxygen-depletion,42.99
Nevada,Champaign,Water,Solid Waste,43.86
Nevada,Champaign,Soil,Inorganic Fertilizers,-86.14
Nevada,Champaign,Air,Inferior Irrigation,-83.87
Nevada,Champaign,Water,Thermal,50.74
Nevada,Champaign,Soil,Light,-72.88
Nevada,Champaign,Air,Noise,57.33
Illinois,Tampa,Water,Groundwater,61.79
Illinois,Tampa,Soil,Chemical,61.36
Illinois,Tampa,Air,Oxygen-depletion,-65.82
Illinois,Tampa,Water,Solid Waste,63.96
Illinois,Tampa,Soil,Inorganic Fertilizers,-62.98
Illinois,Tampa,Air,Inferior Irrigation,67.94
Illinois,Tampa,Water,Thermal,-61.22
Illinois,Tampa,Soil,Light,69.22
Illinois,Tampa,Air,Noise,67.18
Florida,Fort Lauderdale,Water,Groundwater,72.35
Florida,Fort Lauderdale,Soil,Chemical,-53.39
Florida,Fort Lauderdale,Air,Oxygen-depletion,77.81
Florida,Fort Lauderdale,Water,Solid Waste,78.83
Florida,Fort Lauderdale,Soil,Inorganic Fertilizers,78.69
Florida,Fort Lauderdale,Air,Inferior Irrigation,-48.57
Florida,Fort Lauderdale,Water,Thermal,80.13
Florida,Fort Lauderdale,Soil,Light,-46.65
Florida,Fort Lauderdale,Air,Noise,85.04
Nevada,Boulder City,Water,Groundwater,86.59
Nevada,Boulder City,Soil,Chemical,-41.91
Nevada,Boulder City,Air,Oxygen-depletion,-40.88
Nevada,Boulder City,Water,Solid Waste,89.95
Nevada,Boulder City,Soil,Inorganic Fertilizers,90.61
Nevada,Boulder City,Air,Inferior Irrigation,-37.87
Nevada,Boulder City,Water,Thermal,91.25
Nevada,Boulder City,Soil,Light,89.31
Nevada,Boulder City,Air,Noise,94.75
Illinois,Reno,Water,Groundwater,-33.51
Illinois,Reno,Soil,Chemical,94.49
Illinois,Reno,Air,Oxygen-depletion,-38.6
Illinois,Reno,Water,Solid Waste,-33.24
Illinois,Reno,Soil,Inorganic Fertilizers,-26.06
Illinois,Reno,Air,Inferior Irrigation,-24.85
Illinois,Reno,Water,Thermal,-17.9
Illinois,Reno,Soil,Light,-11.01
Illinois,Reno,Air,Noise,-4.52
