Polluted element,Type of pollution,Maryland_Columbia,Maryland_Hastings,Maryland_Reno,Minnesota_Aberdeen,Minnesota_Las Vegas,Minnesota_Rochester,Nevada_Boulder City,Nevada_Minneapolis,Average
Air,Groundwater,-17.14,27.06,-17.84,98.62,-30.44,7.89,-59.86,67.95,9.53
,Inferior Irrigation,-82.94,44.74,-12.52,-0.93,-26.22,11.43,-54.91,73.89,-5.93
,Inorganic Fertilizers,-76.34,48.68,-8.86,-97.46,-25.95,17.86,-49.64,85.50,-13.28
,Light,-89.59,24.07,-17.17,95.94,-38.53,1.57,-63.16,60.36,-3.31
,Noise,-68.61,55.56,-4.70,-92.83,-20.82,20.06,-41.05,91.63,-7.60
Soil,Groundwater,-63.95,60.31,-1.31,-92.63,-20.42,23.53,-39.91,93.48,-5.11
,Light,-71.80,55.75,-15.14,-93.91,-21.14,15.75,-43.77,91.72,-10.32
,Surface water,-82.83,35.68,-12.46,-18.01,-31.86,9.83,-55.52,70.22,-10.62
,Thermal,-84.60,24.27,-15.21,97.04,-31.72,6.47,-59.90,64.79,0.14
,Urban Activities,-75.74,46.17,-15.29,-3.58,-26.83,16.29,-51.15,84.87,-3.16
Water,Industrial,-73.82,53.42,-10.49,-97.21,-23.86,18.08,-46.49,88.59,-11.47
,Noise,-85.09,22.00,-16.34,94.19,-34.07,1.05,-63.04,63.43,-2.23
,Oxygen-depletion,-82.71,32.79,-18.48,-20.59,-31.81,8.18,-56.95,67.08,-12.81
,Solid Waste,-76.49,46.72,-17.66,-4.58,-25.93,15.57,-52.93,79.57,-4.47
,Thermal,-64.22,56.21,-3.37,-91.56,-19.53,22.31,-41.38,93.30,-6.03
