Characteristic,Intensity,2015_Michigan_Cambridge,2015_Michigan_Flint,2015_Michigan_Portland,2019_Massachusetts_Boston,2019_Massachusetts_Redmond,2021_Oregon_Detroit,2021_Oregon_Lenox,2021_Oregon_Salem
Humidity,11-20,18.06,6.89,24.02,15.10,24.32,15.16,23.17,12.06
,Breeze,17.88,3.74,23.05,14.38,21.95,8.70,21.86,8.33
,Low,16.76,0.31,27.69,13.80,14.18,9.43,20.56,24.91
Temperature,0-10,4.24,5.74,23.19,14.11,20.41,13.17,23.03,10.27
,Medium,19.76,8.87,27.01,16.61,26.97,13.54,24.66,13.23
,Storm,17.24,2.75,25.60,14.22,20.93,11.16,20.23,8.99
Wind,Calm,17.76,2.19,6.00,14.04,19.29,13.31,22.25,9.91
,Low,18.84,7.44,6.41,16.49,25.96,15.93,23.50,0.16
,Medium,17.85,0.98,21.26,13.57,19.67,7.49,20.62,8.28
Maximum,,19.76,8.87,27.69,16.61,26.97,15.93,24.66,24.91
