Characteristic,Intensity,2019_Georgia_Redmond,2019_Oregon_Columbus,2020_Georgia_Washington,2020_Oregon_Portland,2021_Georgia_Albany,2021_Oregon_Salem
Temperature,,11.42,27.92,17.86,15.01,23.79,5.64
,  21-30,5.59,27.92,17.86,15.01,21.82,2.71
,  31-40,7.90,25.04,16.58,13.40,19.40,1.74
,  Calm,11.42,27.79,7.12,9.69,23.79,5.64
Wind,,6.90,25.87,16.98,18.52,22.93,6.46
,  11-20,6.90,19.67,16.98,14.83,20.58,1.21
,  Breeze,1.56,25.87,5.70,14.44,22.93,4.48
,  Storm,5.45,15.15,3.89,18.52,22.28,6.46
Maximum,,11.42,27.92,17.86,18.52,23.79,6.46
,  ,11.42,27.92,17.86,18.52,23.79,6.46
