Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2022,California,Los-Angeles,Wind,Calm,1.8
2022,California,Los-Angeles,Humidity,Storm,1.83
2022,California,Los-Angeles,Wind,Medium,3.75
2022,California,Los-Angeles,Humidity,Low,4.68
2022,California,Los-Angeles,Wind,High,5.96
2022,California,Los-Angeles,Humidity,Calm,6.23
2017,Oregon,Malibu,Wind,Calm,6.46
2017,Oregon,Malibu,Humidity,Storm,8.02
2017,Oregon,Malibu,Wind,Medium,6.89
2017,Oregon,Malibu,Humidity,Low,10.77
2017,Oregon,Malibu,Wind,High,10.81
2017,Oregon,Malibu,Humidity,Calm,12.65
2016,Florida,San Francisco,Wind,Calm,13.78
2016,Florida,San Francisco,Humidity,Storm,13.72
2016,Florida,San Francisco,Wind,Medium,15.74
2016,Florida,San Francisco,Humidity,Low,15.09
2016,Florida,San Francisco,Wind,High,17.62
2016,Florida,San Francisco,Humidity,Calm,18.63
2022,California,Portland,Wind,Calm,18.0
2022,California,Portland,Humidity,Storm,20.58
2022,California,Portland,Wind,Medium,18.76
2022,California,Portland,Humidity,Low,22.35
2022,California,Portland,Wind,High,23.71
2022,California,Portland,Humidity,Calm,24.85
2017,Oregon,Redmond,Wind,Calm,24.32
2017,Oregon,Redmond,Humidity,Storm,25.25
2017,Oregon,Redmond,Wind,Medium,26.0
2017,Oregon,Redmond,Humidity,Low,25.04
2017,Oregon,Redmond,Wind,High,24.95
2017,Oregon,Redmond,Humidity,Calm,24.63
2016,Florida,Tampa,Wind,Calm,25.14
2016,Florida,Tampa,Humidity,Storm,27.05
2016,Florida,Tampa,Wind,Medium,27.37
2016,Florida,Tampa,Humidity,Low,1.6
2016,Florida,Tampa,Wind,High,12.98
2016,Florida,Tampa,Humidity,Calm,18.94
2022,California,Fort Lauderdale,Wind,Calm,19.0
2022,California,Fort Lauderdale,Humidity,Storm,20.78
2022,California,Fort Lauderdale,Wind,Medium,21.04
2022,California,Fort Lauderdale,Humidity,Low,22.68
2022,California,Fort Lauderdale,Wind,High,22.95
2022,California,Fort Lauderdale,Humidity,Calm,3.83
