Characteristic,Intensity,2015_Illinois_Fort Lauderdale,2015_Illinois_Rochester,2015_Illinois_Springfield,2017_Minnesota_Chicago,2017_Minnesota_Minneapolis,2020_Florida_Hastings,2020_Florida_Tampa
Maximum,,24.27,27.82,8.69,15.24,12.62,24.23,16.62
,  ,24.27,27.82,8.69,15.24,12.62,24.23,16.62
Humidity,,23.88,26.13,7.00,15.09,12.62,24.23,16.62
,  21-30,19.67,26.13,1.10,6.08,7.08,17.72,13.92
,  High,20.44,6.16,4.55,12.13,9.26,19.08,14.96
,  Storm,23.88,4.09,7.00,15.09,12.62,24.23,16.62
Temperature,,20.82,27.03,6.21,15.24,11.82,23.15,16.31
,  11-20,6.79,27.03,0.48,7.89,7.65,17.40,13.83
,  Calm,5.57,25.00,6.21,15.24,11.82,23.15,16.31
,  Medium,20.82,21.43,2.22,12.19,8.98,20.64,14.76
Wind,,24.27,27.82,8.69,14.89,10.08,24.16,14.82
,  11-20,24.27,4.59,8.69,14.89,0.79,24.16,5.72
,  31-40,19.80,25.64,2.65,8.19,0.11,19.81,14.82
,  Breeze,21.40,27.82,4.69,14.13,10.08,22.74,3.62
