Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q3,September,1.16
Service,School,Q4,July,8.27
Service,School,Q3,August,11.42
Service,School,Q4,December,11.58
Service,School,Q3,November,12.86
Service,School,Q4,October,14.73
Culture,Hospital,Q3,September,16.38
Culture,Hospital,Q4,July,20.45
Culture,Hospital,Q3,August,21.18
Culture,Hospital,Q4,December,22.14
Culture,Hospital,Q3,November,21.51
Culture,Hospital,Q4,October,27.67
Residential,Museum,Q3,September,29.38
Residential,Museum,Q4,July,33.3
Residential,Museum,Q3,August,35.54
Residential,Museum,Q4,December,40.74
Residential,Museum,Q3,November,40.64
Residential,Museum,Q4,October,42.65
Service,Theatre,Q3,September,44.46
Service,Theatre,Q4,July,44.78
Service,Theatre,Q3,August,47.19
Service,Theatre,Q4,December,51.35
Service,Theatre,Q3,November,52.49
Service,Theatre,Q4,October,53.4
Culture,Hotel,Q3,September,53.68
Culture,Hotel,Q4,July,55.34
Culture,Hotel,Q3,August,55.79
Culture,Hotel,Q4,December,56.54
Culture,Hotel,Q3,November,58.74
Culture,Hotel,Q4,October,60.55
Residential,House,Q3,September,62.08
Residential,House,Q4,July,63.06
Residential,House,Q3,August,63.65
Residential,House,Q4,December,72.9
Residential,House,Q3,November,73.45
Residential,House,Q4,October,73.28
Service,Apartment,Q3,September,74.67
Service,Apartment,Q4,July,79.76
Service,Apartment,Q3,August,87.23
Service,Apartment,Q4,December,89.84
Service,Apartment,Q3,November,89.16
Service,Apartment,Q4,October,97.14
