Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q2,May,3.27
Residential,Apartment,Q4,April,5.72
Residential,Apartment,Q3,June,8.75
Residential,Apartment,Q2,December,12.61
Residential,Apartment,Q4,November,14.93
Residential,Apartment,Q3,October,15.89
Residential,Apartment,Q2,August,16.9
Residential,Apartment,Q4,September,17.39
Residential,Apartment,Q3,July,18.01
Culture,House,Q2,May,17.49
Culture,House,Q4,April,20.09
Culture,House,Q3,June,17.9
Culture,House,Q2,December,23.67
Culture,House,Q4,November,24.23
Culture,House,Q3,October,25.53
Culture,House,Q2,August,26.35
Culture,House,Q4,September,27.8
Culture,House,Q3,July,24.74
Production,Hotel,Q2,May,31.45
Production,Hotel,Q4,April,33.44
Production,Hotel,Q3,June,33.1
Production,Hotel,Q2,December,34.97
Production,Hotel,Q4,November,36.94
Production,Hotel,Q3,October,37.16
Production,Hotel,Q2,August,39.35
Production,Hotel,Q4,September,40.59
Production,Hotel,Q3,July,39.4
Residential,Museum,Q2,May,42.06
Residential,Museum,Q4,April,40.57
Residential,Museum,Q3,June,42.25
Residential,Museum,Q2,December,45.89
Residential,Museum,Q4,November,46.02
Residential,Museum,Q3,October,47.65
Residential,Museum,Q2,August,43.61
Residential,Museum,Q4,September,49.27
Residential,Museum,Q3,July,49.78
Culture,Concert,Q2,May,51.29
Culture,Concert,Q4,April,52.32
Culture,Concert,Q3,June,49.31
Culture,Concert,Q2,December,54.49
Culture,Concert,Q4,November,51.41
Culture,Concert,Q3,October,50.17
Culture,Concert,Q2,August,57.39
Culture,Concert,Q4,September,57.3
Culture,Concert,Q3,July,58.16
Production,Theatre,Q2,May,56.52
Production,Theatre,Q4,April,65.85
Production,Theatre,Q3,June,66.13
Production,Theatre,Q2,December,66.67
Production,Theatre,Q4,November,66.84
Production,Theatre,Q3,October,69.69
Production,Theatre,Q2,August,71.04
Production,Theatre,Q4,September,76.01
Production,Theatre,Q3,July,79.13
Residential,Factory,Q2,May,80.14
Residential,Factory,Q4,April,81.46
Residential,Factory,Q3,June,81.75
Residential,Factory,Q2,December,83.05
Residential,Factory,Q4,November,84.8
Residential,Factory,Q3,October,84.87
Residential,Factory,Q2,August,86.57
Residential,Factory,Q4,September,88.44
Residential,Factory,Q3,July,89.62
Culture,Workshop,Q2,May,88.78
Culture,Workshop,Q4,April,89.56
Culture,Workshop,Q3,June,93.08
Culture,Workshop,Q2,December,96.41
Culture,Workshop,Q4,November,97.02
Culture,Workshop,Q3,October,97.67
Culture,Workshop,Q2,August,99.43
Culture,Workshop,Q4,September,98.26
Culture,Workshop,Q3,July,46.58
