Quarter,Month,Culture_Concert,Culture_Hospital,Culture_Workshop,Production_Factory,Production_School,Service_Administration,Service_Museum,Minimum,State,City
Q1,,7.92,40.61,83.59,76.77,30.46,58.96,20.26,7.92,,
,  April,16.88,56.65,96.83,85.21,37.31,67.80,29.08,16.88,Minnesota,Rochester
,  August,7.92,40.61,83.59,76.77,32.98,58.96,20.26,7.92,Minnesota,Rochester
,  March,11.69,46.32,93.90,77.69,30.46,64.75,24.64,11.69,Minnesota,Minneapolis
Q2,,12.72,34.19,89.17,77.91,31.48,60.09,21.36,12.72,,
,  January,27.00,34.19,89.17,77.91,31.48,60.09,21.36,21.36,Minnesota,Minneapolis
,  June,12.72,49.52,94.46,83.51,36.89,65.12,27.55,12.72,Minnesota,Rochester
,  September,18.35,57.98,95.21,84.73,38.67,74.35,30.18,18.35,Minnesota,Minneapolis
Q3,,6.60,40.26,83.32,74.08,31.68,57.29,20.29,6.60,,
,  February,10.41,46.60,83.32,77.90,34.73,58.40,23.33,10.41,Minnesota,Rochester
,  May,13.86,49.08,95.58,84.98,37.04,66.53,28.98,13.86,Minnesota,Minneapolis
,  September,6.60,40.26,83.78,74.08,31.68,57.29,20.29,6.60,Minnesota,Minneapolis
