Polluted element,Type of pollution,Maryland_Baltimore,Maryland_Boulder City,Maryland_Minneapolis,Minnesota_Aberdeen,Minnesota_Rochester,Nevada_Hastings,Nevada_Las Vegas
Air,Inorganic Fertilizers,16.49,-12.63,-76.84,63.94,-62.84,84.93,-45.19
,Solid Waste,9.25,-23.63,-81.96,51.44,-65.98,84.10,-48.72
,Surface water,23.94,-10.11,-71.19,75.08,-63.43,-91.33,-39.63
,Urban Activities,29.40,-5.60,-69.02,77.48,-56.58,-86.40,-32.25
Soil,Groundwater,4.77,-27.29,-82.74,44.77,-66.54,83.89,-54.07
,Industrial,15.22,-12.08,-77.20,61.85,-63.16,86.18,-45.85
,Noise,22.52,-9.13,-72.29,72.26,-65.72,-94.68,-45.07
,Solid Waste,28.01,-10.67,-69.98,77.95,-59.18,-89.80,-35.73
Water,Groundwater,26.25,-7.21,-72.94,76.56,-58.40,-89.42,-36.13
,Surface water,4.59,-31.55,-84.06,33.37,-68.01,82.81,-56.19
,Thermal,17.09,-12.57,-74.09,70.99,-64.05,0.35,-43.41
,Urban Activities,12.34,-17.70,-79.31,51.04,-64.14,84.49,-46.25
