Quarter,Month,Culture_Hospital,Culture_Museum,Residential_House,Residential_School,Service_Apartment,Service_Concert,Minimum,State,City
Q2,,41.55,90.51,0.33,53.22,20.91,75.57,0.33,,
,  December,46.79,98.22,15.98,72.82,36.43,86.63,15.98,California,Malibu
,  June,46.44,94.87,5.85,61.37,27.61,81.52,5.85,Georgia,Washington
,  November,41.55,90.51,0.33,53.22,20.91,75.57,0.33,California,Malibu
Q3,,39.44,89.50,1.07,50.39,18.62,73.89,1.07,,
,  April,46.66,94.17,13.28,66.51,33.22,85.92,13.28,Georgia,Washington
,  August,46.52,93.59,4.95,59.35,25.43,81.58,4.95,California,Malibu
,  October,39.44,89.50,1.07,50.39,18.62,73.89,1.07,Georgia,Washington
Q4,,37.19,89.46,0.44,48.67,16.10,73.47,0.44,,
,  December,37.19,89.46,0.44,48.67,16.10,73.47,0.44,California,Malibu
,  July,45.74,92.46,3.76,55.62,23.38,76.03,3.76,Georgia,Washington
,  May,48.00,95.27,8.27,61.96,31.74,84.83,8.27,California,Malibu
