Polluted element,Type of pollution,Massachusetts_Boston_2018,Massachusetts_Cambridge_2019,Massachusetts_Las Vegas_2019,Nevada_Boulder City_2015,Nevada_Lenox_2015,Nevada_Reno_2016,Average
Air,,-11.12,-12.86,-47.78,-26.94,91.71,-28.37,-5.89
,  Industrial,64.73,-23.41,33.84,1.93,85.13,-80.49,13.62
,  Oxygen-depletion,-47.65,-2.23,-87.61,-98.20,96.37,-65.01,-34.05
,  Thermal,-50.43,-12.93,-89.56,15.44,93.62,60.38,2.75
Soil,,27.61,-15.76,-92.51,10.39,46.54,9.21,-2.42
,  Groundwater,63.46,-28.19,-96.32,0.53,-45.94,-88.05,-32.42
,  Noise,-48.21,-4.89,-87.32,23.92,93.20,62.95,6.61
,  Urban Activities,67.59,-14.19,-93.90,6.73,92.37,52.74,18.56
Water,,27.54,21.64,-8.57,6.90,44.49,-34.23,9.63
,  Light,79.66,-11.49,39.62,18.30,94.34,-68.63,25.30
,  Oxygen-depletion,64.87,97.52,30.05,-0.60,-46.44,-85.49,9.99
,  Solid Waste,-61.91,-21.10,-95.38,3.00,85.57,51.42,-6.40
