Characteristic,Intensity,2016_Massachusetts_Salem,2016_Oregon_Cambridge,2018_Massachusetts_Boston,2019_Massachusetts_Lenox,2019_Oregon_Redmond
Humidity,31-40,15.10,12.61,20.82,3.88,27.76
,Low,12.24,9.48,17.69,0.46,26.71
,Storm,19.57,8.60,24.86,4.88,8.76
Temperature,Calm,4.96,13.50,22.51,4.30,27.13
,High,1.46,10.13,18.91,1.76,24.44
,Low,22.56,10.50,25.19,7.13,11.38
Wind,21-30,14.97,3.73,18.07,1.63,23.96
,Breeze,19.21,9.26,22.87,3.10,8.64
,High,3.23,17.45,26.17,7.28,12.06
Maximum,,22.56,17.45,26.17,7.28,27.76
