Polluted element,Type of pollution,Massachusetts_Cambridge_2020,Massachusetts_Hastings_2017,Michigan_Flint_2016,Michigan_Rochester_2019,Minnesota_Boston_2016,Minnesota_Port Huron_2020
Average,,-20.50,67.77,14.30,-87.28,-52.57,46.55
,  ,-20.50,67.77,14.30,-87.28,-52.57,46.55
Air,,-23.09,60.55,11.62,-88.56,-54.76,44.73
,  Chemical,-19.50,79.73,15.54,-83.00,-49.87,47.58
,  Noise,-25.10,26.75,9.51,-91.31,-58.64,43.33
,  Urban Activities,-24.68,75.15,9.83,-91.37,-55.76,43.27
Soil,,-17.59,64.91,16.54,-85.18,-50.62,49.42
,  Industrial,-16.59,37.21,21.60,-81.18,-45.86,52.14
,  Inferior Irrigation,-15.09,79.74,14.40,-87.61,-53.71,51.46
,  Surface water,-21.09,77.78,13.62,-86.75,-52.29,44.66
Water,,-20.82,77.86,14.73,-88.11,-52.34,45.51
,  Inorganic Fertilizers,-18.61,80.78,19.13,-82.14,-47.02,47.63
,  Light,-21.92,74.72,11.29,-90.39,-55.62,44.64
,  Solid Waste,-21.93,78.07,13.77,-91.80,-54.39,44.25
