Quarter,Month,Culture_Administration,Culture_House,Culture_Theatre,Residential_Hotel,Residential_Library,Service_Apartment,Service_Museum,Service_School
Q1,January,38.86,73.71,0.48,60.98,20.12,87.17,10.14,49.95
,July,41.17,79.84,4.77,64.83,30.38,92.96,17.27,54.62
,June,44.53,83.49,7.87,58.47,35.27,93.19,17.73,58.76
Q2,April,34.82,81.37,5.37,64.90,34.49,94.05,18.83,56.45
,August,40.99,78.98,2.04,63.19,25.77,87.78,14.99,53.15
,February,46.56,86.42,9.98,71.60,36.74,97.02,20.18,60.73
Q3,February,39.00,75.76,1.94,62.11,25.75,86.67,13.63,50.26
,January,39.83,83.81,7.62,64.21,35.54,92.60,21.34,58.09
,September,40.75,78.17,5.17,62.44,31.90,93.33,18.52,53.16
Minimum,,34.82,73.71,0.48,58.47,20.12,86.67,10.14,49.95
