State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Oregon,Redmond,2015,Air,Light,-0.18
Oregon,Redmond,2015,Water,Thermal,0.95
Oregon,Redmond,2015,Soil,Chemical,6.89
Oregon,Redmond,2015,Air,Groundwater,10.64
Oregon,Redmond,2015,Water,Surface water,11.22
Oregon,Redmond,2015,Soil,Oxygen-depletion,14.74
Oregon,Redmond,2015,Air,Solid Waste,16.07
Oregon,Redmond,2015,Water,Urban Activities,19.36
Oregon,Redmond,2015,Soil,Inorganic Fertilizers,20.68
Oregon,Redmond,2015,Air,Light,27.62
Oregon,Redmond,2015,Water,Thermal,-98.63
Oregon,Redmond,2015,Soil,Chemical,32.3
Michigan,Portland,2017,Air,Light,33.28
Michigan,Portland,2017,Water,Thermal,-95.97
Michigan,Portland,2017,Soil,Chemical,35.71
Michigan,Portland,2017,Air,Groundwater,36.09
Michigan,Portland,2017,Water,Surface water,34.08
Michigan,Portland,2017,Soil,Oxygen-depletion,35.88
Michigan,Portland,2017,Air,Solid Waste,-90.74
Michigan,Portland,2017,Water,Urban Activities,40.76
Michigan,Portland,2017,Soil,Inorganic Fertilizers,37.43
Michigan,Portland,2017,Air,Light,-86.67
Michigan,Portland,2017,Water,Thermal,39.21
Michigan,Portland,2017,Soil,Chemical,-94.09
Oregon,Salem,2015,Air,Light,-82.61
Oregon,Salem,2015,Water,Thermal,-80.67
Oregon,Salem,2015,Soil,Chemical,-78.58
Oregon,Salem,2015,Air,Groundwater,51.38
Oregon,Salem,2015,Water,Surface water,-76.25
Oregon,Salem,2015,Soil,Oxygen-depletion,-75.93
Oregon,Salem,2015,Air,Solid Waste,-74.93
Oregon,Salem,2015,Water,Urban Activities,53.64
Oregon,Salem,2015,Soil,Inorganic Fertilizers,-71.63
Oregon,Salem,2015,Air,Light,-69.73
Oregon,Salem,2015,Water,Thermal,60.75
Oregon,Salem,2015,Soil,Chemical,61.71
Michigan,Flint,2017,Air,Light,62.76
Michigan,Flint,2017,Water,Thermal,-65.77
Michigan,Flint,2017,Soil,Chemical,64.78
Michigan,Flint,2017,Air,Groundwater,65.73
Michigan,Flint,2017,Water,Surface water,-62.02
Michigan,Flint,2017,Soil,Oxygen-depletion,-61.93
Michigan,Flint,2017,Air,Solid Waste,-63.93
Michigan,Flint,2017,Water,Urban Activities,-64.42
Michigan,Flint,2017,Soil,Inorganic Fertilizers,70.75
Michigan,Flint,2017,Air,Light,72.91
Michigan,Flint,2017,Water,Thermal,-55.48
Michigan,Flint,2017,Soil,Chemical,73.88
Oregon,Port Huron,2015,Air,Light,76.29
Oregon,Port Huron,2015,Water,Thermal,-49.52
Oregon,Port Huron,2015,Soil,Chemical,-45.9
Oregon,Port Huron,2015,Air,Groundwater,84.71
Oregon,Port Huron,2015,Water,Surface water,-43.13
Oregon,Port Huron,2015,Soil,Oxygen-depletion,-40.48
Oregon,Port Huron,2015,Air,Solid Waste,-38.03
Oregon,Port Huron,2015,Water,Urban Activities,-38.65
Oregon,Port Huron,2015,Soil,Inorganic Fertilizers,-38.72
Oregon,Port Huron,2015,Air,Light,-34.51
Oregon,Port Huron,2015,Water,Thermal,-33.39
Oregon,Port Huron,2015,Soil,Chemical,95.23
Michigan,Detroit,2017,Air,Light,96.22
Michigan,Detroit,2017,Water,Thermal,98.18
Michigan,Detroit,2017,Soil,Chemical,98.52
Michigan,Detroit,2017,Air,Groundwater,-23.89
Michigan,Detroit,2017,Water,Surface water,-19.13
Michigan,Detroit,2017,Soil,Oxygen-depletion,-17.51
Michigan,Detroit,2017,Air,Solid Waste,-17.55
Michigan,Detroit,2017,Water,Urban Activities,-15.63
Michigan,Detroit,2017,Soil,Inorganic Fertilizers,-14.91
Michigan,Detroit,2017,Air,Light,-13.0
Michigan,Detroit,2017,Water,Thermal,-6.01
Michigan,Detroit,2017,Soil,Chemical,-2.65
