State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Michigan,Flint,Water,Chemical,-0.49
Michigan,Flint,Soil,Surface water,10.4
Michigan,Flint,Water,Oxygen-depletion,16.15
Michigan,Flint,Soil,Groundwater,23.18
Michigan,Flint,Water,Solid Waste,-94.63
Michigan,Flint,Soil,Urban Activities,-93.19
Michigan,Flint,Water,Chemical,-92.57
Michigan,Flint,Soil,Surface water,45.95
Oregon,Detroit,Water,Chemical,50.96
Oregon,Detroit,Soil,Surface water,-76.84
Oregon,Detroit,Water,Oxygen-depletion,-75.02
Oregon,Detroit,Soil,Groundwater,52.56
Oregon,Detroit,Water,Solid Waste,-75.5
Oregon,Detroit,Soil,Urban Activities,56.05
Oregon,Detroit,Water,Chemical,-69.04
Oregon,Detroit,Soil,Surface water,63.5
Michigan,Port Huron,Water,Chemical,65.4
Michigan,Port Huron,Soil,Surface water,-62.62
Michigan,Port Huron,Water,Oxygen-depletion,-59.78
Michigan,Port Huron,Soil,Groundwater,-58.29
Michigan,Port Huron,Water,Solid Waste,73.18
Michigan,Port Huron,Soil,Urban Activities,-53.03
Michigan,Port Huron,Water,Chemical,77.51
Michigan,Port Huron,Soil,Surface water,78.79
Oregon,Salem,Water,Chemical,-9.74
Oregon,Salem,Soil,Surface water,84.63
Oregon,Salem,Water,Oxygen-depletion,85.59
Oregon,Salem,Soil,Groundwater,90.39
Oregon,Salem,Water,Solid Waste,93.75
Oregon,Salem,Soil,Urban Activities,-34.21
Oregon,Salem,Water,Chemical,-31.42
Oregon,Salem,Soil,Surface water,98.97
Michigan,Portland,Water,Chemical,-26.31
Michigan,Portland,Soil,Surface water,-26.96
Michigan,Portland,Water,Oxygen-depletion,-22.84
Michigan,Portland,Soil,Groundwater,-22.68
Michigan,Portland,Water,Solid Waste,-18.08
Michigan,Portland,Soil,Urban Activities,-9.37
Michigan,Portland,Water,Chemical,-4.73
Michigan,Portland,Soil,Surface water,-3.06
