Polluted element,Type of pollution,Nevada_Boulder City_2020,Nevada_Redmond_2020,Oregon_Las Vegas_2017,Oregon_Portland_2017
Air,Industrial,12.24,72.25,54.53,-21.88
,Inorganic Fertilizers,40.49,-36.96,67.04,-4.61
,Noise,-92.21,-43.58,-67.95,-9.57
Soil,Light,-91.08,92.34,65.11,-7.52
,Surface water,-99.02,-46.69,-74.63,-14.45
,Urban Activities,5.70,68.52,43.00,-33.97
Water,Groundwater,-93.14,-43.44,61.78,-14.71
,Inorganic Fertilizers,8.05,68.89,52.30,-31.16
,Urban Activities,38.84,93.06,66.69,-6.30
Average,,-30.01,24.93,29.76,-16.02
