Quarter,Month,Production_Factory,Production_Library,Service_Administration,Service_Hospital,Service_Workshop,State,City
Q1,,58.05,25.57,42.04,6.54,79.37,,
,  February,62.94,35.41,53.32,13.91,89.80,Minnesota,Minneapolis
,  November,58.05,25.57,42.04,6.54,79.37,Minnesota,Minneapolis
,  October,66.08,38.33,54.97,25.20,98.94,Minnesota,Minneapolis
Q4,,56.33,27.75,38.60,2.99,72.29,,
,  January,65.01,38.16,53.00,25.22,92.83,California,Malibu
,  March,59.61,32.78,42.05,9.94,79.22,California,Malibu
,  October,56.33,27.75,38.60,2.99,72.29,California,Malibu
Minimum,,56.33,25.57,38.60,2.99,72.29,,
,  ,56.33,25.57,38.60,2.99,72.29,,
