Quarter,Month,Production_Administration,Production_Factory,Production_Hospital,Service_School,Service_Workshop,Minimum,State,City
Q1,,33.48,4.38,85.07,68.26,17.19,4.38,,
,  March,49.31,6.78,85.07,73.99,23.84,6.78,Oregon,Redmond
,  May,59.84,10.30,99.43,79.68,30.19,10.30,Oregon,Salem
,  October,33.48,4.38,85.55,68.26,17.19,4.38,Oregon,Salem
Q2,,33.46,2.92,81.00,60.42,9.40,2.92,,
,  April,33.46,2.92,81.00,60.42,9.40,2.92,Oregon,Salem
,  December,36.01,5.36,86.73,70.43,18.11,5.36,Oregon,Redmond
,  January,53.60,9.59,91.04,72.83,26.06,9.59,Oregon,Salem
Q4,,34.39,3.71,83.23,65.60,15.44,3.71,,
,  April,55.94,10.77,98.56,77.15,29.19,10.77,Oregon,Redmond
,  May,34.39,3.71,83.23,65.60,15.44,3.71,Oregon,Redmond
,  November,46.26,5.16,87.55,72.72,20.65,5.16,Oregon,Salem
Minimum,,33.46,2.92,81.00,60.42,9.40,2.92,,
,  ,33.46,2.92,81.00,60.42,9.40,2.92,,
