Polluted element,Type of pollution,California_Berkeley,California_Champaign,California_Columbia,Illinois_Aberdeen,Illinois_Springfield,Maryland_Chicago,Maryland_Malibu
Average,,1.88,-15.54,-22.17,-32.54,47.01,7.52,-57.07
,  ,1.88,-15.54,-22.17,-32.54,47.01,7.52,-57.07
Air,,-11.30,-13.81,-37.18,-15.46,63.92,8.28,-56.47
,  Chemical,8.33,-24.42,-72.66,-84.66,-37.06,68.42,-93.51
,  Groundwater,-96.86,-2.49,-63.94,-75.61,97.13,-49.33,-84.92
,  Light,27.19,-9.39,59.58,50.99,98.80,72.23,-86.72
,  Oxygen-depletion,16.16,-18.95,-71.69,47.42,96.83,-58.22,39.28
Water,,15.06,-17.27,-7.17,-49.62,30.09,6.76,-57.67
,  Groundwater,1.47,-27.18,53.12,45.43,86.60,-62.83,33.42
,  Noise,28.55,-7.61,-69.89,-77.77,-29.15,79.52,-86.25
,  Surface water,11.02,-22.21,57.61,-86.54,-33.63,-60.56,-90.40
,  Thermal,19.20,-12.09,-69.52,-79.59,96.53,70.91,-87.44
