Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q4,October,Nevada,Las Vegas,9.9
Production,Workshop,Q1,November,Nevada,Reno,11.1
Production,Workshop,Q2,December,Nevada,Las Vegas,13.83
Production,Workshop,Q4,March,Nevada,Reno,15.18
Production,Workshop,Q1,February,Nevada,Las Vegas,16.93
Production,Workshop,Q2,May,Nevada,Reno,18.38
Production,Workshop,Q4,June,Nevada,Las Vegas,19.11
Production,Workshop,Q1,October,Nevada,Reno,20.64
Production,Workshop,Q2,November,Nevada,Las Vegas,42.49
Culture,Factory,Q4,October,Nevada,Las Vegas,46.53
Culture,Factory,Q1,November,Nevada,Reno,48.25
Culture,Factory,Q2,December,Nevada,Las Vegas,55.11
Culture,Factory,Q4,March,Nevada,Reno,57.22
Culture,Factory,Q1,February,Nevada,Las Vegas,59.64
Culture,Factory,Q2,May,Nevada,Reno,60.4
Culture,Factory,Q4,June,Nevada,Las Vegas,61.7
Culture,Factory,Q1,October,Nevada,Reno,62.42
Culture,Factory,Q2,November,Nevada,Las Vegas,62.29
Production,Theatre,Q4,October,Nevada,Las Vegas,62.74
Production,Theatre,Q1,November,Nevada,Reno,67.99
Production,Theatre,Q2,December,Nevada,Las Vegas,71.74
Production,Theatre,Q4,March,Nevada,Reno,73.55
Production,Theatre,Q1,February,Nevada,Las Vegas,77.18
Production,Theatre,Q2,May,Nevada,Reno,78.3
Production,Theatre,Q4,June,Nevada,Las Vegas,78.65
Production,Theatre,Q1,October,Nevada,Reno,80.82
Production,Theatre,Q2,November,Nevada,Las Vegas,83.99
Culture,Museum,Q4,October,Nevada,Las Vegas,85.44
Culture,Museum,Q1,November,Nevada,Reno,85.29
Culture,Museum,Q2,December,Nevada,Las Vegas,89.64
Culture,Museum,Q4,March,Nevada,Reno,90.41
Culture,Museum,Q1,February,Nevada,Las Vegas,93.09
Culture,Museum,Q2,May,Nevada,Reno,94.12
Culture,Museum,Q4,June,Nevada,Las Vegas,97.66
Culture,Museum,Q1,October,Nevada,Reno,97.12
Culture,Museum,Q2,November,Nevada,Las Vegas,98.39
