Polluted element,Type of pollution,Minnesota_Hastings,Minnesota_Rochester,Minnesota_Salem,Oregon_Minneapolis,Oregon_Redmond
Air,Chemical,-66.39,17.35,-18.80,35.62,-42.69
,Inferior Irrigation,54.98,12.89,-28.67,-97.46,81.24
,Oxygen-depletion,-89.32,-0.45,90.29,22.09,66.80
,Thermal,-82.31,8.30,97.27,30.74,-47.06
Soil,Industrial,-69.87,15.32,-22.87,-93.18,84.01
,Light,49.11,9.28,98.31,-97.86,-46.58
,Oxygen-depletion,-64.40,17.31,-12.17,36.97,86.36
,Surface water,39.45,1.23,-38.72,25.59,-56.35
Water,Chemical,39.71,-0.76,-42.51,21.93,64.31
,Groundwater,-84.73,7.24,95.26,28.45,77.27
,Noise,-75.22,9.66,-31.37,32.23,-45.02
,Solid Waste,60.67,16.31,-20.20,-93.23,86.18
