Polluted element,Type of pollution,Florida_Cambridge_2019,Florida_Detroit_2022,Massachusetts_Boston_2022,Massachusetts_Fort Lauderdale_2019,Michigan_Lenox_2019,Michigan_Port Huron_2019,Michigan_Tampa_2022
Air,Chemical,-80.30,46.80,-58.25,76.67,-25.04,20.61,-3.78
,Industrial,-79.45,41.17,-57.56,82.43,-22.66,23.47,95.28
,Solid Waste,-73.02,49.42,-53.89,84.38,-14.84,24.08,0.36
,Thermal,-85.59,38.75,-60.75,73.16,-28.35,16.34,90.23
Soil,Inorganic Fertilizers,-70.67,53.02,-55.96,86.17,-14.81,27.01,-7.65
,Light,-80.26,39.93,-58.66,73.43,-27.43,18.00,95.79
,Oxygen-depletion,-78.74,47.16,-57.57,74.61,-21.88,21.00,-5.48
,Urban Activities,-77.10,36.34,-55.92,83.41,-22.77,24.90,98.62
Water,Groundwater,-81.56,44.62,-58.03,73.39,-29.40,15.94,-8.19
,Inferior Irrigation,-76.98,38.06,-54.03,81.04,-21.60,24.29,32.33
,Noise,-79.16,39.45,-57.73,81.19,-26.11,20.87,95.70
,Surface water,-88.34,37.57,-62.73,70.70,-29.60,9.51,93.68
