Polluted element,Type of pollution,Florida_Cambridge,Florida_Tampa,Massachusetts_Boston,Massachusetts_Reno,Nevada_Fort Lauderdale,Nevada_Las Vegas,Nevada_Lenox,Average
Air,,72.77,-38.26,-67.70,46.13,-9.43,19.23,1.13,3.41
,  Groundwater,72.50,-42.96,-67.57,41.51,-14.29,12.80,93.78,13.68
,  Inferior Irrigation,60.20,-49.67,-78.88,39.84,-14.54,9.95,93.97,8.70
,  Thermal,76.02,-32.46,-64.45,48.15,-7.19,21.30,-95.05,-7.67
,  Urban Activities,82.37,-27.93,-59.90,55.04,-1.72,32.87,-88.17,-1.06
Soil,,68.59,-43.10,-73.15,41.76,-14.11,13.03,-3.71,-1.53
,  Chemical,74.21,-35.70,-67.23,43.03,-10.85,16.87,-99.25,-11.27
,  Industrial,62.17,-46.81,-75.44,40.31,-14.91,10.06,93.72,9.87
,  Light,79.36,-31.25,-62.86,52.20,-6.36,25.92,-91.46,-4.92
,  Solid Waste,58.60,-58.65,-87.06,31.51,-24.34,-0.75,82.16,0.21
Water,,71.62,-40.07,-69.47,43.57,-12.12,15.31,-0.62,1.17
,  Noise,76.44,-33.84,-65.00,46.25,-9.04,17.14,-97.18,-9.32
,  Solid Waste,79.01,-33.38,-59.66,54.27,-3.94,31.29,-91.41,-3.40
,  Surface water,70.33,-43.59,-72.84,41.09,-12.33,11.66,95.64,12.85
,  Urban Activities,60.69,-49.47,-80.36,32.66,-23.19,1.15,90.48,4.57
Average,,70.99,-40.48,-70.10,43.82,-11.89,15.86,-1.06,1.02
,  ,70.99,-40.48,-70.10,43.82,-11.89,15.86,-1.06,1.02
