Polluted element,Type of pollution,California_Columbus_2018,California_Minneapolis_2018,Georgia_Berkeley_2022,Georgia_Washington_2022,Minnesota_Albany_2017,Minnesota_Hastings_2017,Minnesota_San Francisco_2017
Air,Industrial,-52.58,60.57,83.12,-37.70,-15.76,12.07,-80.43
,Surface water,-42.52,70.43,-97.91,-33.10,-11.44,41.33,-61.47
,Thermal,-52.04,48.66,77.61,-38.97,-21.07,2.58,-89.95
,Urban Activities,-47.02,66.73,87.06,-31.23,-13.06,27.80,-69.91
Soil,Inferior Irrigation,-50.43,64.15,84.06,-33.73,-14.73,19.43,-77.92
,Light,-51.88,53.92,80.20,-39.41,-17.42,6.66,-85.42
,Oxygen-depletion,-47.97,67.62,93.22,-30.03,-11.97,28.07,-67.76
,Thermal,-39.05,70.47,-94.78,-33.34,-3.89,43.31,-59.98
Water,Chemical,-43.80,70.34,97.05,-34.84,-11.36,41.78,-63.51
,Inorganic Fertilizers,-47.16,65.33,85.76,-33.92,-13.01,20.18,-73.88
,Light,-39.04,73.52,-90.02,-32.95,-2.53,47.04,-55.71
,Noise,-50.77,55.96,80.18,-36.70,-16.10,11.53,-81.53
Average,,-47.02,63.98,40.46,-34.66,-12.70,25.15,-72.29
