Quarter,Month,Culture_Factory,Culture_Theatre,Production_Administration,Production_Museum,Service_Library,Service_Workshop
Q1,,40.04,5.93,61.24,13.61,89.98,26.73
,  January,43.74,7.59,67.44,16.97,94.52,36.85
,  June,40.04,5.93,61.24,13.61,89.98,26.73
,  May,45.77,12.77,73.73,18.72,97.06,38.72
Q2,,36.99,3.31,52.53,13.36,85.36,21.17
,  April,38.55,5.49,62.15,15.62,90.64,35.92
,  March,45.71,5.70,67.18,14.47,96.84,36.94
,  May,36.99,3.31,52.53,13.36,85.36,21.17
Minimum,,36.99,3.31,52.53,13.36,85.36,21.17
,  ,36.99,3.31,52.53,13.36,85.36,21.17
