Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q1,February,0.87
Residential,Apartment,Q3,January,1.72
Residential,Apartment,Q4,September,2.2
Residential,Apartment,Q1,July,3.23
Residential,Apartment,Q3,August,1.01
Residential,Apartment,Q4,November,0.98
Residential,Apartment,Q1,October,7.36
Residential,Apartment,Q3,February,11.77
Residential,Apartment,Q4,January,12.41
Production,Hotel,Q1,February,11.04
Production,Hotel,Q3,January,15.87
Production,Hotel,Q4,September,25.93
Production,Hotel,Q1,July,27.83
Production,Hotel,Q3,August,27.75
Production,Hotel,Q4,November,30.06
Production,Hotel,Q1,October,36.82
Production,Hotel,Q3,February,41.95
Production,Hotel,Q4,January,47.81
Residential,Factory,Q1,February,53.08
Residential,Factory,Q3,January,54.22
Residential,Factory,Q4,September,54.19
Residential,Factory,Q1,July,57.54
Residential,Factory,Q3,August,60.35
Residential,Factory,Q4,November,61.89
Residential,Factory,Q1,October,64.79
Residential,Factory,Q3,February,65.71
Residential,Factory,Q4,January,64.71
Production,Workshop,Q1,February,67.28
Production,Workshop,Q3,January,74.71
Production,Workshop,Q4,September,75.7
Production,Workshop,Q1,July,77.87
Production,Workshop,Q3,August,85.57
Production,Workshop,Q4,November,86.27
Production,Workshop,Q1,October,91.07
Production,Workshop,Q3,February,91.3
Production,Workshop,Q4,January,95.47
