Characteristic,Intensity,2017_Florida_Reno,2017_Massachusetts_Lenox,2017_Nevada_Tampa,2019_Florida_Fort Lauderdale,2019_Massachusetts_Boulder City,2019_Nevada_Cambridge
Temperature,,17.40,5.16,27.25,17.53,23.90,11.17
,  0-10,17.40,5.16,4.82,2.47,23.90,11.17
,  11-20,15.45,3.26,27.25,17.53,21.58,9.21
,  Calm,13.40,0.70,25.13,9.85,19.22,2.79
Wind,,15.17,3.01,28.00,15.27,22.02,10.44
,  31-40,15.17,3.01,28.00,7.88,22.02,10.44
,  Breeze,8.63,0.32,23.37,7.07,9.95,5.53
,  Storm,14.31,2.18,26.71,15.27,11.75,8.32
Maximum,,17.40,5.16,28.00,17.53,23.90,11.17
,  ,17.40,5.16,28.00,17.53,23.90,11.17
