Quarter,Month,Culture_Administration,Culture_Concert,Culture_Workshop,Production_Museum,Production_School,Service_Factory,Service_Library
Q1,February,97.21,20.64,61.24,31.11,71.07,51.27,86.87
,May,93.65,8.53,59.27,20.52,66.00,44.70,80.95
,September,90.02,3.06,55.58,22.68,65.41,37.51,78.60
Q2,August,88.27,2.20,54.79,20.01,64.40,35.93,74.76
,June,93.05,6.68,51.88,21.98,67.04,41.36,81.60
,March,95.30,16.99,61.19,28.19,71.51,51.15,80.84
Q3,April,89.68,5.75,51.63,24.27,66.62,38.10,80.39
,January,95.74,14.29,59.01,27.74,66.50,45.55,83.73
,July,88.08,2.84,51.31,21.34,63.50,32.03,74.45
Minimum,,88.08,2.20,51.31,20.01,63.50,32.03,74.45
