Quarter,Month,Production_Factory,Production_Hospital,Production_Library,Service_School,Service_Workshop,State,City
Minimum,,1.09,55.74,87.83,68.04,30.77,,
,  ,1.09,55.74,87.83,68.04,30.77,,
Q2,,10.19,60.18,89.92,70.09,38.56,,
,  April,18.99,61.08,96.98,76.61,43.63,California,Los-Angeles
,  July,30.34,67.88,99.82,85.05,51.94,Michigan,Los-Angeles
,  September,10.19,60.18,89.92,70.09,38.56,Michigan,Los-Angeles
Q3,,1.09,55.74,87.83,68.04,30.77,,
,  August,1.09,55.74,87.83,68.04,30.77,Michigan,Detroit
,  June,23.08,65.63,95.24,77.42,48.86,Michigan,Detroit
,  November,12.25,61.83,91.69,72.64,41.32,California,Detroit
Q4,,3.76,59.70,89.12,70.77,38.17,,
,  August,23.09,65.99,98.13,85.46,50.57,California,Port Huron
,  December,17.30,62.63,95.52,75.62,43.97,Michigan,Port Huron
,  July,3.76,59.70,89.12,70.77,38.17,California,Port Huron
