Quarter,Month,Culture_Factory,Culture_Museum,Production_Concert,Production_Library,Service_Administration,Service_Workshop
Minimum,,41.54,82.91,69.68,19.63,2.13,61.88
,  ,41.54,82.91,69.68,19.63,2.13,61.88
Q1,,44.22,88.23,71.32,19.96,2.13,63.41
,  February,60.91,99.54,79.19,33.15,15.00,69.42
,  July,44.22,88.23,71.32,19.96,2.13,63.41
,  March,54.11,97.96,73.05,24.15,11.00,65.61
Q3,,41.54,82.91,69.68,19.63,2.48,61.88
,  August,54.91,97.30,71.06,22.64,10.90,64.85
,  January,59.35,97.94,74.91,31.89,13.11,66.01
,  September,41.54,82.91,69.68,19.63,2.48,61.88
