Polluted element,Type of pollution,Georgia_Albany_2020,Georgia_Columbus_2021,Georgia_Redmond_2019,Oregon_Portland_2020,Oregon_Salem_2021,Oregon_Washington_2019
Air,Industrial,70.81,11.15,-62.77,-25.93,-5.72,41.19
,Inorganic Fertilizers,87.24,29.26,-37.85,-2.25,-71.53,55.90
,Light,76.71,13.46,-49.61,-14.59,-79.11,49.62
,Oxygen-depletion,80.27,25.55,-40.83,-8.48,-79.37,52.05
,Surface water,66.74,6.44,-66.96,-34.82,98.68,32.74
Soil,Chemical,66.63,5.93,-71.95,-36.35,95.43,29.55
,Solid Waste,75.03,14.34,-52.99,-15.80,-81.78,47.34
,Surface water,85.40,28.99,-41.93,-4.69,-74.58,52.76
,Thermal,78.53,18.67,-41.25,-12.81,-77.72,51.80
,Urban Activities,71.53,10.34,-63.27,-26.90,-98.52,38.14
Water,Chemical,80.48,26.91,-39.44,-5.07,-74.30,51.36
,Inferior Irrigation,74.17,13.11,-59.38,-22.45,-88.56,-4.46
,Inorganic Fertilizers,70.48,7.23,-65.49,-29.90,-98.32,34.43
,Noise,75.98,17.60,-43.57,-14.72,-78.14,50.47
,Oxygen-depletion,60.21,4.99,-71.80,-36.02,88.70,28.27
