Polluted element,Type of pollution,Massachusetts_Lenox,Massachusetts_Portland,Oregon_Boston,Oregon_Cambridge,Oregon_Salem,Average
Air,Industrial,81.51,34.06,-20.31,-65.60,11.61,8.25
,Surface water,88.81,36.90,-11.88,71.61,24.62,42.01
,Thermal,77.76,26.03,-33.40,48.60,1.98,24.19
Soil,Noise,-50.71,27.85,-23.11,49.52,5.53,1.82
,Oxygen-depletion,89.51,-85.52,-10.57,73.70,25.14,18.45
,Solid Waste,83.00,36.68,-13.79,65.01,17.76,37.73
Water,Groundwater,87.54,37.53,-13.43,-58.53,20.06,14.63
,Light,-49.06,33.74,-21.85,-66.60,6.73,-19.41
,Thermal,94.80,-81.60,-5.97,76.55,26.28,22.01
Average,,55.91,7.30,-17.15,21.58,15.52,16.63
