Polluted element,Type of pollution,California_Boulder City,California_Los-Angeles,Nevada_Berkeley,Nevada_Reno
Air,Groundwater,81.49,11.00,-76.92,-1.50
,Industrial,-37.75,-90.52,68.10,-8.89
,Noise,-42.68,29.11,-65.56,-18.98
,Urban Activities,99.03,-85.16,-52.95,-1.00
Soil,Inferior Irrigation,-36.35,43.82,72.71,-6.27
,Oxygen-depletion,-28.01,-80.02,77.41,-1.95
,Surface water,86.04,12.94,-71.94,-24.77
,Thermal,89.00,-96.25,-64.16,-16.02
Water,Chemical,87.61,13.92,59.23,-19.71
,Light,89.63,38.10,64.99,-11.69
,Oxygen-depletion,80.96,0.41,-76.76,-29.24
,Solid Waste,-32.76,-84.21,-53.72,-5.11
