Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Wind,Breeze,0.39
2018,Humidity,Calm,2.51
2018,Temperature,Storm,2.98
2018,Wind,High,3.43
2018,Humidity,Low,2.59
2018,Temperature,Medium,6.1
2018,Wind,11-20,7.43
2018,Humidity,0-10,8.46
2018,Temperature,21-30,9.6
2015,Wind,Breeze,10.47
2015,Humidity,Calm,11.32
2015,Temperature,Storm,12.96
2015,Wind,High,10.55
2015,Humidity,Low,5.74
2015,Temperature,Medium,15.61
2015,Wind,11-20,16.31
2015,Humidity,0-10,16.07
2015,Temperature,21-30,18.72
2021,Wind,Breeze,17.74
2021,Humidity,Calm,19.69
2021,Temperature,Storm,15.47
2021,Wind,High,22.69
2021,Humidity,Low,23.47
2021,Temperature,Medium,24.69
2021,Wind,11-20,25.85
2021,Humidity,0-10,26.2
2021,Temperature,21-30,27.3
