Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2015,Q1,Drowning,Fatal,33.91
Female,2015,Q1,Fire,Fatal,97.81
Female,2015,Q1,Traffic,Fatal,99.4
Female,2020,Q4,Drowning,Fatal,58.57
Female,2020,Q4,Fire,Fatal,10.86
Female,2020,Q4,Traffic,Fatal,74.9
Female,2016,Q1,Drowning,Fatal,45.94
Female,2016,Q1,Fire,Fatal,77.87
Female,2016,Q1,Traffic,Fatal,46.61
Female,2015,Q4,Drowning,Fatal,46.75
Female,2015,Q4,Fire,Fatal,83.91
Female,2015,Q4,Traffic,Fatal,85.41
Female,2020,Q1,Drowning,Fatal,87.0
Female,2020,Q1,Fire,Fatal,23.8
Female,2020,Q1,Traffic,Fatal,56.32
Female,2016,Q4,Drowning,Fatal,56.7
Female,2016,Q4,Fire,Fatal,91.4
Female,2016,Q4,Traffic,Fatal,28.97
